epoch,beta,lr,train_loss,val_loss,train_recon,train_kl,val_recon,val_kl
1,0.050,0.000030,0.225391,0.163642,0.190246,0.702886,0.137545,0.521940
2,0.100,0.000031,0.241365,0.178498,0.185264,0.561003,0.128377,0.501210
3,0.150,0.000035,0.257223,0.197180,0.178981,0.521611,0.122164,0.500103
4,0.200,0.000042,0.275079,0.211269,0.174063,0.505080,0.111269,0.500000
5,0.250,0.000051,0.290953,0.230574,0.165563,0.501560,0.105574,0.500002
6,0.300,0.000062,0.317252,0.249274,0.166824,0.501427,0.099274,0.500000
7,0.350,0.000075,0.328875,0.268606,0.153452,0.501207,0.093606,0.500000
8,0.400,0.000090,0.354027,0.289908,0.153451,0.501439,0.089717,0.500479
9,0.450,0.000106,0.367912,0.312433,0.142118,0.501765,0.087022,0.500913
10,0.500,0.000124,0.391567,0.335219,0.140599,0.501935,0.084642,0.501154
11,0.550,0.000142,0.415231,0.354628,0.139132,0.501999,0.079144,0.500880
12,0.600,0.000161,0.434640,0.385086,0.133526,0.501857,0.084412,0.501123
13,0.650,0.000180,0.458990,0.407000,0.132617,0.502113,0.081806,0.500299
14,0.700,0.000199,0.493364,0.431855,0.141764,0.502285,0.080576,0.501828
15,0.750,0.000217,0.512234,0.459724,0.135618,0.502155,0.084215,0.500679
16,0.800,0.000234,0.531746,0.479449,0.129856,0.502363,0.078148,0.501626
17,0.850,0.000249,0.571217,0.503151,0.144053,0.502546,0.077617,0.500628
18,0.900,0.000263,0.587528,0.527142,0.135974,0.501726,0.076705,0.500486
19,0.950,0.000275,0.620143,0.562040,0.136891,0.508686,0.079775,0.507647
20,1.000,0.000285,0.642808,0.581373,0.138170,0.504638,0.079902,0.501471
21,1.050,0.000292,0.661247,0.606518,0.134699,0.501474,0.078821,0.502569
22,1.100,0.000297,0.685428,0.630989,0.133763,0.501514,0.080618,0.500337
23,1.150,0.000300,0.715397,0.659428,0.138579,0.501581,0.081803,0.502283
24,1.200,0.000300,0.737955,0.681665,0.135356,0.502166,0.081393,0.500226
25,1.250,0.000300,0.755682,0.704877,0.129635,0.500838,0.079299,0.500462
26,1.300,0.000300,0.781602,0.723707,0.130148,0.501119,0.073281,0.500328
27,1.350,0.000299,0.813785,0.751681,0.136942,0.501365,0.075320,0.501008
28,1.400,0.000299,0.824478,0.773213,0.123027,0.501037,0.072733,0.500343
29,1.450,0.000299,0.861326,0.800266,0.134807,0.501047,0.075198,0.500047
30,1.500,0.000298,0.873940,0.821363,0.122858,0.500722,0.070999,0.500243
31,1.550,0.000297,0.901104,0.848920,0.124822,0.500827,0.073715,0.500133
32,1.600,0.000297,0.926030,0.873123,0.124697,0.500834,0.072874,0.500156
33,1.650,0.000296,0.953259,0.896058,0.127256,0.500607,0.070744,0.500191
34,1.700,0.000295,0.978549,0.923423,0.127444,0.500650,0.072727,0.500409
35,1.750,0.000294,1.006848,0.951406,0.130654,0.500682,0.076186,0.500126
36,1.800,0.000293,1.031218,0.971549,0.129906,0.500729,0.071413,0.500075
37,1.850,0.000292,1.054777,0.995701,0.128129,0.500891,0.070698,0.500001
38,1.900,0.000290,1.070534,1.021378,0.119498,0.500545,0.070027,0.500711
39,1.950,0.000289,1.097701,1.045634,0.121376,0.500680,0.070443,0.500098
40,2.000,0.000288,1.125752,1.072328,0.124582,0.500585,0.071671,0.500329
41,2.000,0.000286,1.121931,1.067921,0.120570,0.500680,0.067880,0.500020
42,2.000,0.000285,1.127658,1.071817,0.125760,0.500949,0.071760,0.500029
43,2.000,0.000283,1.122805,1.072055,0.121659,0.500573,0.071603,0.500226
44,2.000,0.000281,1.125865,1.074142,0.124223,0.500821,0.074000,0.500071
45,2.000,0.000279,1.129681,1.076823,0.128547,0.500567,0.075107,0.500858
46,2.000,0.000277,1.121730,1.076074,0.120319,0.500706,0.075080,0.500497
47,2.000,0.000275,1.131459,1.072773,0.129609,0.500925,0.072740,0.500017
48,2.000,0.000273,1.118663,1.078082,0.117639,0.500512,0.077950,0.500066
49,2.000,0.000271,1.124367,1.073124,0.122967,0.500700,0.072158,0.500483
50,2.000,0.000269,1.116927,1.072517,0.115549,0.500689,0.071804,0.500357
51,2.000,0.000267,1.123355,1.076652,0.122137,0.500609,0.076133,0.500260
52,2.000,0.000264,1.109655,1.072022,0.108271,0.500692,0.071920,0.500051
53,2.000,0.000262,1.113901,1.073054,0.112723,0.500589,0.072617,0.500219
54,2.000,0.000259,1.122429,1.070863,0.120970,0.500729,0.070776,0.500044
55,2.000,0.000257,1.111501,1.074192,0.110445,0.500528,0.074035,0.500079
56,2.000,0.000254,1.115876,1.073214,0.114547,0.500665,0.071283,0.500965
57,2.000,0.000251,1.120845,1.076649,0.118965,0.500940,0.076570,0.500039
58,2.000,0.000249,1.126255,1.078507,0.124772,0.500741,0.073587,0.502460
59,2.000,0.000246,1.118430,1.072826,0.116339,0.501045,0.072654,0.500086
60,2.000,0.000243,1.109772,1.073185,0.108688,0.500542,0.072058,0.500563
61,2.000,0.000240,1.117619,1.071040,0.115983,0.500818,0.071017,0.500011
62,2.000,0.000237,1.111978,1.070512,0.110837,0.500571,0.070349,0.500082
63,2.000,0.000234,1.113520,1.068525,0.112230,0.500645,0.068212,0.500156
64,2.000,0.000231,1.115516,1.074590,0.114062,0.500727,0.074485,0.500052
65,2.000,0.000228,1.112257,1.065578,0.110809,0.500724,0.065539,0.500020
66,2.000,0.000225,1.114531,1.072399,0.113258,0.500636,0.071373,0.500513
67,2.000,0.000221,1.118652,1.073915,0.116358,0.501147,0.073827,0.500044
68,2.000,0.000218,1.113109,1.070779,0.111777,0.500666,0.070733,0.500023
69,2.000,0.000215,1.108996,1.071747,0.107881,0.500557,0.071550,0.500099
70,2.000,0.000211,1.108825,1.066529,0.107191,0.500817,0.066475,0.500027
71,2.000,0.000208,1.111142,1.073374,0.110012,0.500565,0.072126,0.500624
72,2.000,0.000205,1.108785,1.072219,0.107196,0.500795,0.071894,0.500163
73,2.000,0.000201,1.110185,1.072620,0.108913,0.500636,0.072482,0.500069
74,2.000,0.000198,1.105670,1.071521,0.104227,0.500722,0.071149,0.500186
75,2.000,0.000194,1.109741,1.070518,0.108048,0.500846,0.070491,0.500014
76,2.000,0.000191,1.108589,1.068947,0.107176,0.500707,0.068927,0.500010
77,2.000,0.000187,1.111583,1.072947,0.110017,0.500783,0.072826,0.500060
78,2.000,0.000184,1.105473,1.071134,0.104055,0.500709,0.070988,0.500073
79,2.000,0.000180,1.108615,1.070622,0.107429,0.500593,0.070544,0.500039
80,2.000,0.000176,1.113997,1.072967,0.112524,0.500736,0.072618,0.500174
81,2.000,0.000173,1.106153,1.071739,0.104655,0.500749,0.071332,0.500203
82,2.000,0.000169,1.102801,1.073803,0.101535,0.500633,0.073766,0.500019
83,2.000,0.000165,1.112853,1.067738,0.111516,0.500669,0.067594,0.500072
84,2.000,0.000162,1.109746,1.071281,0.108476,0.500635,0.071128,0.500077
85,2.000,0.000158,1.109398,1.067827,0.108093,0.500652,0.067713,0.500057
86,2.000,0.000154,1.103927,1.069134,0.102691,0.500618,0.068990,0.500072
87,2.000,0.000151,1.107490,1.072172,0.106069,0.500710,0.072122,0.500025
88,2.000,0.000147,1.111190,1.071891,0.109890,0.500650,0.071764,0.500063
89,2.000,0.000143,1.105362,1.069005,0.104071,0.500646,0.068919,0.500043
90,2.000,0.000139,1.104174,1.068419,0.102899,0.500637,0.068385,0.500017
91,2.000,0.000136,1.102201,1.073145,0.101015,0.500593,0.073099,0.500023
92,2.000,0.000132,1.108973,1.069028,0.107676,0.500648,0.068977,0.500025
93,2.000,0.000128,1.103764,1.069925,0.102511,0.500626,0.069798,0.500064
94,2.000,0.000125,1.110139,1.069176,0.108469,0.500835,0.068877,0.500149
95,2.000,0.000121,1.106292,1.071446,0.105063,0.500614,0.071034,0.500206
66,0.500,0.000225,0.248003,0.127600,0.222391,0.051224,0.122726,0.009747
67,0.500,0.000221,0.238946,0.133823,0.231054,0.015784,0.126208,0.015230
68,0.500,0.000218,0.251269,0.133656,0.243660,0.015218,0.125894,0.015523
69,0.500,0.000215,0.232833,0.132420,0.224104,0.017456,0.124734,0.015371
70,0.500,0.000211,0.233687,0.128976,0.224934,0.017506,0.120763,0.016426
71,0.500,0.000208,0.238530,0.134330,0.229689,0.017683,0.125811,0.017039
72,0.500,0.000205,0.241468,0.127481,0.232505,0.017927,0.119642,0.015678
73,0.500,0.000201,0.227812,0.132280,0.218873,0.017878,0.122771,0.019018
74,0.500,0.000198,0.233921,0.129799,0.225687,0.016470,0.122281,0.015037
75,0.500,0.000194,0.235054,0.137962,0.224944,0.020221,0.129570,0.016783
76,0.500,0.000191,0.225963,0.133412,0.216414,0.019097,0.124733,0.017358
77,0.500,0.000187,0.231614,0.132614,0.221709,0.019810,0.123606,0.018016
78,0.500,0.000184,0.235547,0.136064,0.226285,0.018523,0.128591,0.014945
79,0.500,0.000180,0.234228,0.129891,0.224603,0.019250,0.122126,0.015529
80,0.500,0.000176,0.226771,0.133768,0.216922,0.019697,0.125737,0.016062
81,0.500,0.000173,0.229790,0.138842,0.220312,0.018956,0.128247,0.021189
82,0.500,0.000169,0.219197,0.128159,0.210226,0.017941,0.122542,0.011235
83,0.500,0.000165,0.230199,0.126009,0.219762,0.020874,0.118471,0.015075
84,0.500,0.000162,0.222971,0.135581,0.214090,0.017762,0.126893,0.017376
85,0.500,0.000158,0.243533,0.131355,0.231900,0.023267,0.124517,0.013676
86,0.500,0.000154,0.227578,0.131176,0.216971,0.021214,0.122610,0.017132
87,0.500,0.000151,0.239150,0.133656,0.228410,0.021480,0.124605,0.018103
88,0.500,0.000147,0.228466,0.127862,0.216940,0.023053,0.120149,0.015426
89,0.500,0.000143,0.228185,0.129470,0.216821,0.022729,0.121974,0.014993
90,0.500,0.000139,0.234585,0.131583,0.223368,0.022435,0.124607,0.013951
91,0.500,0.000136,0.220006,0.130902,0.208354,0.023305,0.123962,0.013878
92,0.500,0.000132,0.220000,0.135011,0.209105,0.021788,0.123534,0.022953
93,0.500,0.000128,0.230014,0.133421,0.217556,0.024916,0.123197,0.020447
94,0.500,0.000125,0.220114,0.130029,0.207232,0.025764,0.121711,0.016636
95,0.500,0.000121,0.242991,0.136409,0.229086,0.027809,0.128502,0.015814
96,0.500,0.000118,0.226733,0.130718,0.215545,0.022375,0.122605,0.016226
97,0.500,0.000114,0.229335,0.139972,0.215685,0.027300,0.130601,0.018742
98,0.500,0.000110,0.228489,0.126278,0.215015,0.026948,0.117070,0.018418
99,0.500,0.000107,0.229951,0.134154,0.216521,0.026860,0.125683,0.016942
100,0.500,0.000103,0.211585,0.129076,0.199291,0.024589,0.121696,0.014759
101,0.500,0.000100,0.231342,0.135372,0.216817,0.029050,0.126953,0.016837
102,0.500,0.000096,0.220389,0.128210,0.208063,0.024653,0.120251,0.015917
103,0.500,0.000093,0.221256,0.134978,0.208669,0.025173,0.124164,0.021627
104,0.500,0.000090,0.228132,0.131912,0.215130,0.026004,0.124050,0.015723
105,0.500,0.000086,0.233815,0.132486,0.221384,0.024861,0.123500,0.017972
106,0.500,0.000083,0.225268,0.136149,0.212302,0.025931,0.128107,0.016083
107,0.500,0.000080,0.223579,0.132044,0.210233,0.026693,0.123796,0.016495
108,0.500,0.000076,0.232153,0.130252,0.217496,0.029314,0.121314,0.017876
109,0.500,0.000073,0.223369,0.133025,0.208663,0.029412,0.122761,0.020527
110,0.500,0.000070,0.228901,0.130950,0.212584,0.032633,0.120666,0.020568
111,0.500,0.000067,0.217854,0.134074,0.203488,0.028731,0.125683,0.016782
112,0.500,0.000064,0.228944,0.131338,0.215225,0.027439,0.121431,0.019814
113,0.500,0.000061,0.236228,0.134538,0.223227,0.026002,0.126444,0.016187
114,0.500,0.000058,0.238871,0.132991,0.224780,0.028183,0.123681,0.018621
115,0.500,0.000055,0.221535,0.133117,0.208743,0.025584,0.124644,0.016945
116,0.500,0.000052,0.234306,0.133593,0.220875,0.026861,0.124701,0.017784
117,0.500,0.000049,0.223313,0.126314,0.208924,0.028776,0.118951,0.014725
118,0.500,0.000047,0.209576,0.139276,0.197503,0.024146,0.129340,0.019871
119,0.500,0.000044,0.236949,0.132570,0.222348,0.029201,0.124344,0.016451
120,0.500,0.000041,0.226402,0.134710,0.213342,0.026120,0.126080,0.017260
121,0.500,0.000039,0.224732,0.132564,0.208576,0.032312,0.124400,0.016328
122,0.500,0.000036,0.222501,0.132139,0.209655,0.025694,0.123333,0.017612
123,0.500,0.000034,0.229412,0.136385,0.213144,0.032536,0.126350,0.020071
124,0.500,0.000032,0.222892,0.134096,0.208703,0.028378,0.126246,0.015699
125,0.500,0.000030,0.237286,0.136140,0.223728,0.027116,0.127717,0.016846
126,0.500,0.000027,0.232119,0.130443,0.217234,0.029770,0.121255,0.018376
127,0.500,0.000025,0.222869,0.136066,0.208352,0.029033,0.127657,0.016818
