epoch,phase,beta,lambda_adv,train_d,train_g,train_recon,train_kl,train_sc,train_adv,train_fm,val_recon
1,decoder_warmup,0.050,0.0000,0.00000,0.60711,0.10723,0.50008,0.47487,0.00000,0.00000,0.06991
2,decoder_warmup,0.100,0.0000,0.00000,0.63507,0.10802,0.50009,0.47703,0.00000,0.00000,0.07168
3,decoder_warmup,0.150,0.0000,0.00000,0.69019,0.11434,0.50015,0.50083,0.00000,0.00000,0.07344
4,decoder_warmup,0.200,0.0000,0.00000,0.73165,0.11642,0.50008,0.51522,0.00000,0.00000,0.06914
5,decoder_warmup,0.250,0.0000,0.00000,0.72531,0.11019,0.50010,0.49009,0.00000,0.00000,0.07379
6,decoder_warmup,0.300,0.0000,0.00000,0.75086,0.11224,0.50011,0.48858,0.00000,0.00000,0.07084
7,decoder_warmup,0.350,0.0000,0.00000,0.76720,0.11001,0.50008,0.48216,0.00000,0.00000,0.06666
8,decoder_warmup,0.400,0.0000,0.00000,0.81418,0.11282,0.50011,0.50132,0.00000,0.00000,0.07423
9,decoder_warmup,0.450,0.0000,0.00000,0.84632,0.11537,0.50025,0.50584,0.00000,0.00000,0.07284
10,decoder_warmup,0.500,0.0000,0.00000,0.85769,0.11200,0.50013,0.49562,0.00000,0.00000,0.07157
11,adv_ramp,0.500,0.0075,1.98862,1.09775,0.11248,0.50015,0.49537,0.03185,0.02396,0.07071
12,adv_ramp,0.500,0.0150,1.96637,1.11018,0.11813,0.50009,0.52362,0.04503,0.02177,0.07044
13,adv_ramp,0.500,0.0225,1.93618,1.04453,0.11146,0.50009,0.48992,-0.01050,0.01933,0.07121
14,adv_ramp,0.500,0.0300,1.84693,1.05009,0.11100,0.50011,0.49174,-0.17296,0.02025,0.06994
15,adv_ramp,0.500,0.0375,1.64572,1.08076,0.11173,0.50018,0.49680,-0.17201,0.02286,0.07442
16,adv_ramp,0.500,0.0450,1.40039,1.13056,0.11319,0.50009,0.49793,-0.00735,0.02697,0.07050
17,adv_ramp,0.500,0.0525,1.20138,1.16469,0.11218,0.50014,0.49159,0.22932,0.02988,0.07249
18,adv_ramp,0.500,0.0600,1.06785,1.22097,0.11602,0.50008,0.50730,0.31996,0.03284,0.07803
19,adv_ramp,0.500,0.0675,1.08152,1.20559,0.11397,0.50008,0.50049,0.36636,0.03164,0.07700
20,adv_ramp,0.500,0.0750,1.01616,1.24395,0.11739,0.50008,0.51510,0.37540,0.03333,0.07684
21,adv_ramp,0.500,0.0825,0.98773,1.21599,0.11311,0.50011,0.49578,0.34830,0.03283,0.07746
22,adv_ramp,0.500,0.0900,0.88721,1.30793,0.12198,0.50014,0.53943,0.52395,0.03493,0.07830
23,adv_ramp,0.500,0.0975,0.94442,1.25783,0.11748,0.50019,0.51411,0.50158,0.03272,0.07992
24,adv_ramp,0.500,0.1050,0.93992,1.28091,0.11952,0.50007,0.51432,0.58851,0.03352,0.07802
25,adv_ramp,0.500,0.1125,1.13245,1.25732,0.11854,0.50008,0.52075,0.44615,0.03178,0.07474
26,adv_ramp,0.500,0.1200,1.12714,1.23573,0.11825,0.50015,0.51068,0.38043,0.03111,0.07662
27,adv_ramp,0.500,0.1275,1.06645,1.25785,0.11873,0.50014,0.51350,0.42198,0.03218,0.07751
28,adv_ramp,0.500,0.1350,0.92204,1.27590,0.11846,0.50008,0.51113,0.47957,0.03315,0.07899
29,adv_ramp,0.500,0.1425,0.96630,1.27062,0.11591,0.50008,0.50047,0.43939,0.03416,0.07842
30,adv_ramp,0.500,0.1500,1.01176,1.25038,0.11484,0.50012,0.49844,0.44094,0.03209,0.07801
